epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,88.9908,0.85987,1.23314,1.29459,0.00605,1,0.995,0.8955,0.53964,2.54723,1.40017,0.000493898,0.000493898,0.000493898
45,91.0631,0.93387,1.51409,1.2779,0.00333,1,0.995,0.796,0.90225,2.85487,1.59718,0.000496672,0.000496672,0.000496672
46,92.7033,1.41488,1.70615,1.43107,0.00333,1,0.995,0.796,0.90225,2.85487,1.59718,0.00049905,0.00049905,0.00049905
47,94.4504,0.87375,2.05783,1.37614,0.00333,1,0.995,0.34825,2.21863,3.04578,2.40567,0.000501032,0.000501032,0.000501032
48,96.115,1.39779,1.54858,2.22349,0.00333,1,0.995,0.34825,2.21863,3.04578,2.40567,0.000502618,0.000502618,0.000502618
49,97.8349,0.44439,1.47972,1.13583,0.00333,1,0.995,0.44775,2.02473,2.95303,2.30601,0.000503808,0.000503808,0.000503808
50,99.6773,0.81459,1.94804,1.38245,0.00333,1,0.995,0.44775,2.02473,2.95303,2.30601,0.000504602,0.000504602,0.000504602
51,101.613,0.52392,1.14126,1.07903,0.37277,1,0.995,0.44775,2.23127,3.25486,2.75522,0.000505,0.000505,0.000505
52,103.274,0.93682,1.62945,1.44937,0.37277,1,0.995,0.44775,2.23127,3.25486,2.75522,0.000505002,0.000505002,0.000505002
53,104.94,0.65295,0.97568,1.18128,0.37277,1,0.995,0.44775,2.23127,3.25486,2.75522,0.000504608,0.000504608,0.000504608
54,106.889,0.70136,1.20432,1.00229,0.56726,1,0.995,0.2985,2.5107,2.8289,3.44414,0.000503818,0.000503818,0.000503818
55,108.56,1.52006,2.09072,1.79229,0.56726,1,0.995,0.2985,2.5107,2.8289,3.44414,0.000502632,0.000502632,0.000502632
56,110.468,0.52728,0.85816,1.05271,0.56726,1,0.995,0.2985,2.5107,2.8289,3.44414,0.00050105,0.00050105,0.00050105
57,112.322,0.65915,1.26818,1.11471,0.6321,1,0.995,0.796,1.28859,2.58804,2.52269,0.000499072,0.000499072,0.000499072
58,113.965,1.14133,1.75186,1.93767,0.6321,1,0.995,0.796,1.28859,2.58804,2.52269,0.000496698,0.000496698,0.000496698
59,116.652,1.52101,4.55149,1.95151,0.6321,1,0.995,0.796,1.28859,2.58804,2.52269,0.000493928,0.000493928,0.000493928
60,119.051,0.49046,0.92028,0.95791,0.7449,1,0.995,0.597,1.6707,2.47398,4.49861,0.000490762,0.000490762,0.000490762
61,123.091,0.82293,1.36568,1.12416,0.7449,1,0.995,0.597,1.6707,2.47398,4.49861,0.0004872,0.0004872,0.0004872
62,127.623,1.28718,4.38334,2.01272,0.7449,1,0.995,0.597,1.6707,2.47398,4.49861,0.000483242,0.000483242,0.000483242
63,130.081,0.82154,1.20436,1.4959,0.78542,1,0.995,0.597,1.12619,2.79052,3.48799,0.000478888,0.000478888,0.000478888
64,132.012,0.95414,1.35172,1.73722,0.78542,1,0.995,0.597,1.12619,2.79052,3.48799,0.000474138,0.000474138,0.000474138
65,134.16,1.05776,1.74452,1.23043,0.78542,1,0.995,0.597,1.12619,2.79052,3.48799,0.000468992,0.000468992,0.000468992
66,136.208,0.86758,1.82597,1.40646,0.55329,1,0.995,0.6965,1.25831,2.49285,3.34261,0.00046345,0.00046345,0.00046345
67,138.28,0.62255,1.1975,1.08039,0.55329,1,0.995,0.6965,1.25831,2.49285,3.34261,0.000457512,0.000457512,0.000457512
68,140.441,1.01231,1.47873,1.73067,0.55329,1,0.995,0.6965,1.25831,2.49285,3.34261,0.000451178,0.000451178,0.000451178
69,143.02,0.65318,1.45045,1.37998,0.82748,1,0.995,0.597,1.4973,2.16281,3.03843,0.000444448,0.000444448,0.000444448
70,145.142,0.57313,1.46689,1.74959,0.82748,1,0.995,0.597,1.4973,2.16281,3.03843,0.000437322,0.000437322,0.000437322
71,147.914,1.27183,2.7145,2.04475,0.82748,1,0.995,0.597,1.4973,2.16281,3.03843,0.0004298,0.0004298,0.0004298
72,150.799,1.05618,1.55297,1.53909,0.92723,1,0.995,0.50779,1.29147,2.6398,2.74969,0.000421882,0.000421882,0.000421882
73,152.794,0.54025,1.27635,1.01732,0.92723,1,0.995,0.50779,1.29147,2.6398,2.74969,0.000413568,0.000413568,0.000413568
74,155.197,1.23188,1.54458,1.32993,0.92723,1,0.995,0.50779,1.29147,2.6398,2.74969,0.000404858,0.000404858,0.000404858
75,157.698,0.63719,1.15639,1.17545,0.94,1,0.995,0.44775,1.34017,2.12808,2.53302,0.000395752,0.000395752,0.000395752
76,159.839,0.49218,1.0418,0.94312,0.94,1,0.995,0.44775,1.34017,2.12808,2.53302,0.00038625,0.00038625,0.00038625
77,161.85,0.54189,1.13409,1.06777,0.94,1,0.995,0.44775,1.34017,2.12808,2.53302,0.000376352,0.000376352,0.000376352
78,163.845,0.51282,1.19737,1.06843,0.94932,1,0.995,0.4975,1.20179,2.9456,1.9352,0.000366058,0.000366058,0.000366058
79,165.989,0.42528,1.06258,1.12936,0.94932,1,0.995,0.4975,1.20179,2.9456,1.9352,0.000355368,0.000355368,0.000355368
80,167.909,0.54528,1.08848,1.14987,0.94932,1,0.995,0.4975,1.20179,2.9456,1.9352,0.000344282,0.000344282,0.000344282
81,171.355,0.53351,1.54124,1.4078,0.94858,1,0.995,0.54725,0.85772,2.59296,1.60931,0.0003328,0.0003328,0.0003328
82,174.209,0.93233,1.57372,1.53545,0.94858,1,0.995,0.54725,0.85772,2.59296,1.60931,0.000320922,0.000320922,0.000320922
83,177.46,0.57915,0.85223,0.91583,0.94858,1,0.995,0.54725,0.85772,2.59296,1.60931,0.000308648,0.000308648,0.000308648
84,181.715,0.49274,0.98646,1.01801,0.93565,1,0.995,0.597,0.83986,2.80671,1.72009,0.000295978,0.000295978,0.000295978
85,184.504,0.55621,0.80401,0.9301,0.93565,1,0.995,0.597,0.83986,2.80671,1.72009,0.000282912,0.000282912,0.000282912
86,186.796,0.76726,1.11273,0.94708,0.93565,1,0.995,0.597,0.83986,2.80671,1.72009,0.00026945,0.00026945,0.00026945
87,190.025,0.44699,0.92793,0.9789,0.93565,1,0.995,0.597,0.83986,2.80671,1.72009,0.000255592,0.000255592,0.000255592
88,192.009,0.31575,0.73849,0.98753,0.90693,1,0.995,0.597,0.85471,3.08336,1.66703,0.000241338,0.000241338,0.000241338
89,193.908,0.45442,0.9797,1.23433,0.90693,1,0.995,0.597,0.85471,3.08336,1.66703,0.000226688,0.000226688,0.000226688
90,195.643,0.46798,1.11503,1.22317,0.90693,1,0.995,0.597,0.85471,3.08336,1.66703,0.000211642,0.000211642,0.000211642
